Module	Section	Sample Name	Source
RSeQC	gene_body_coverage	Mmus_C57-6J_LVR_FLT_C_Rep4_M28	/tmp/test48,docker/work/81/011ebe3085f94918dc5fe86f8f0f3e/mqc_in/Mmus_C57-6J_LVR_FLT_C_Rep4_M28.geneBodyCoverage.txt
RSeQC	gene_body_coverage	Mmus_C57-6J_LVR_GC_I_Rep1_M31	/tmp/test48,docker/work/81/011ebe3085f94918dc5fe86f8f0f3e/mqc_in/Mmus_C57-6J_LVR_GC_I_Rep1_M31.geneBodyCoverage.txt
RSeQC	gene_body_coverage	Mmus_C57-6J_LVR_GC_C_Rep5_M40	/tmp/test48,docker/work/81/011ebe3085f94918dc5fe86f8f0f3e/mqc_in/Mmus_C57-6J_LVR_GC_C_Rep5_M40.geneBodyCoverage.txt
RSeQC	gene_body_coverage	Mmus_C57-6J_LVR_GC_C_Rep4_M39	/tmp/test48,docker/work/81/011ebe3085f94918dc5fe86f8f0f3e/mqc_in/Mmus_C57-6J_LVR_GC_C_Rep4_M39.geneBodyCoverage.txt
RSeQC	gene_body_coverage	Mmus_C57-6J_LVR_GC_I_Rep2_M32	/tmp/test48,docker/work/81/011ebe3085f94918dc5fe86f8f0f3e/mqc_in/Mmus_C57-6J_LVR_GC_I_Rep2_M32.geneBodyCoverage.txt
RSeQC	gene_body_coverage	Mmus_C57-6J_LVR_FLT_I_Rep2_M22	/tmp/test48,docker/work/81/011ebe3085f94918dc5fe86f8f0f3e/mqc_in/Mmus_C57-6J_LVR_FLT_I_Rep2_M22.geneBodyCoverage.txt
RSeQC	gene_body_coverage	Mmus_C57-6J_LVR_GC_C_Rep2_M37	/tmp/test48,docker/work/81/011ebe3085f94918dc5fe86f8f0f3e/mqc_in/Mmus_C57-6J_LVR_GC_C_Rep2_M37.geneBodyCoverage.txt
RSeQC	gene_body_coverage	Mmus_C57-6J_LVR_FLT_C_Rep3_M27	/tmp/test48,docker/work/81/011ebe3085f94918dc5fe86f8f0f3e/mqc_in/Mmus_C57-6J_LVR_FLT_C_Rep3_M27.geneBodyCoverage.txt
RSeQC	gene_body_coverage	Mmus_C57-6J_LVR_GC_C_Rep1_M36	/tmp/test48,docker/work/81/011ebe3085f94918dc5fe86f8f0f3e/mqc_in/Mmus_C57-6J_LVR_GC_C_Rep1_M36.geneBodyCoverage.txt
RSeQC	gene_body_coverage	Mmus_C57-6J_LVR_FLT_C_Rep1_M25	/tmp/test48,docker/work/81/011ebe3085f94918dc5fe86f8f0f3e/mqc_in/Mmus_C57-6J_LVR_FLT_C_Rep1_M25.geneBodyCoverage.txt
RSeQC	gene_body_coverage	Mmus_C57-6J_LVR_FLT_C_Rep5_M30	/tmp/test48,docker/work/81/011ebe3085f94918dc5fe86f8f0f3e/mqc_in/Mmus_C57-6J_LVR_FLT_C_Rep5_M30.geneBodyCoverage.txt
RSeQC	gene_body_coverage	Mmus_C57-6J_LVR_FLT_I_Rep1_M21	/tmp/test48,docker/work/81/011ebe3085f94918dc5fe86f8f0f3e/mqc_in/Mmus_C57-6J_LVR_FLT_I_Rep1_M21.geneBodyCoverage.txt
RSeQC	gene_body_coverage	Mmus_C57-6J_LVR_GC_C_Rep3_M38	/tmp/test48,docker/work/81/011ebe3085f94918dc5fe86f8f0f3e/mqc_in/Mmus_C57-6J_LVR_GC_C_Rep3_M38.geneBodyCoverage.txt
RSeQC	gene_body_coverage	Mmus_C57-6J_LVR_FLT_C_Rep2_M26	/tmp/test48,docker/work/81/011ebe3085f94918dc5fe86f8f0f3e/mqc_in/Mmus_C57-6J_LVR_FLT_C_Rep2_M26.geneBodyCoverage.txt
