Module	Section	Sample Name	Source
RSeQC	infer_experiment	Atha_Ler-0_sl_FLT_0.57G_Rep1_infer_expt	/tmp/test251,docker/work/5d/e99b6f38c4370b8850b645f790d94e/mqc_in/Atha_Ler-0_sl_FLT_0.57G_Rep1_infer_expt.out
RSeQC	infer_experiment	Atha_Ler-0_sl_FLT_1G_Rep3_infer_expt	/tmp/test251,docker/work/5d/e99b6f38c4370b8850b645f790d94e/mqc_in/Atha_Ler-0_sl_FLT_1G_Rep3_infer_expt.out
RSeQC	infer_experiment	Atha_Ler-0_sl_FLT_1G_Rep2_infer_expt	/tmp/test251,docker/work/5d/e99b6f38c4370b8850b645f790d94e/mqc_in/Atha_Ler-0_sl_FLT_1G_Rep2_infer_expt.out
RSeQC	infer_experiment	Atha_Ler-0_sl_FLT_0.57G_Rep4_infer_expt	/tmp/test251,docker/work/5d/e99b6f38c4370b8850b645f790d94e/mqc_in/Atha_Ler-0_sl_FLT_0.57G_Rep4_infer_expt.out
RSeQC	infer_experiment	Atha_Ler-0_sl_FLT_0.18G_Rep3_infer_expt	/tmp/test251,docker/work/5d/e99b6f38c4370b8850b645f790d94e/mqc_in/Atha_Ler-0_sl_FLT_0.18G_Rep3_infer_expt.out
RSeQC	infer_experiment	Atha_Ler-0_sl_FLT_uG_Rep2_infer_expt	/tmp/test251,docker/work/5d/e99b6f38c4370b8850b645f790d94e/mqc_in/Atha_Ler-0_sl_FLT_uG_Rep2_infer_expt.out
RSeQC	infer_experiment	Atha_Ler-0_sl_FLT_0.36G_Rep2_infer_expt	/tmp/test251,docker/work/5d/e99b6f38c4370b8850b645f790d94e/mqc_in/Atha_Ler-0_sl_FLT_0.36G_Rep2_infer_expt.out
RSeQC	infer_experiment	Atha_Ler-0_sl_FLT_0.36G_Rep1_infer_expt	/tmp/test251,docker/work/5d/e99b6f38c4370b8850b645f790d94e/mqc_in/Atha_Ler-0_sl_FLT_0.36G_Rep1_infer_expt.out
RSeQC	infer_experiment	Atha_Ler-0_sl_FLT_0.09G_Rep3_infer_expt	/tmp/test251,docker/work/5d/e99b6f38c4370b8850b645f790d94e/mqc_in/Atha_Ler-0_sl_FLT_0.09G_Rep3_infer_expt.out
RSeQC	infer_experiment	Atha_Ler-0_sl_FLT_0.36G_Rep3_infer_expt	/tmp/test251,docker/work/5d/e99b6f38c4370b8850b645f790d94e/mqc_in/Atha_Ler-0_sl_FLT_0.36G_Rep3_infer_expt.out
RSeQC	infer_experiment	Atha_Ler-0_sl_FLT_0.18G_Rep2_infer_expt	/tmp/test251,docker/work/5d/e99b6f38c4370b8850b645f790d94e/mqc_in/Atha_Ler-0_sl_FLT_0.18G_Rep2_infer_expt.out
RSeQC	infer_experiment	Atha_Ler-0_sl_FLT_uG_Rep4_infer_expt	/tmp/test251,docker/work/5d/e99b6f38c4370b8850b645f790d94e/mqc_in/Atha_Ler-0_sl_FLT_uG_Rep4_infer_expt.out
RSeQC	infer_experiment	Atha_Ler-0_sl_FLT_0.09G_Rep2_infer_expt	/tmp/test251,docker/work/5d/e99b6f38c4370b8850b645f790d94e/mqc_in/Atha_Ler-0_sl_FLT_0.09G_Rep2_infer_expt.out
RSeQC	infer_experiment	Atha_Ler-0_sl_FLT_uG_Rep3_infer_expt	/tmp/test251,docker/work/5d/e99b6f38c4370b8850b645f790d94e/mqc_in/Atha_Ler-0_sl_FLT_uG_Rep3_infer_expt.out
RSeQC	infer_experiment	Atha_Ler-0_sl_FLT_0.57G_Rep2_infer_expt	/tmp/test251,docker/work/5d/e99b6f38c4370b8850b645f790d94e/mqc_in/Atha_Ler-0_sl_FLT_0.57G_Rep2_infer_expt.out
RSeQC	infer_experiment	Atha_Ler-0_sl_FLT_1G_Rep1_infer_expt	/tmp/test251,docker/work/5d/e99b6f38c4370b8850b645f790d94e/mqc_in/Atha_Ler-0_sl_FLT_1G_Rep1_infer_expt.out
RSeQC	infer_experiment	Atha_Ler-0_sl_FLT_0.57G_Rep3_infer_expt	/tmp/test251,docker/work/5d/e99b6f38c4370b8850b645f790d94e/mqc_in/Atha_Ler-0_sl_FLT_0.57G_Rep3_infer_expt.out
RSeQC	infer_experiment	Atha_Ler-0_sl_FLT_0.18G_Rep1_infer_expt	/tmp/test251,docker/work/5d/e99b6f38c4370b8850b645f790d94e/mqc_in/Atha_Ler-0_sl_FLT_0.18G_Rep1_infer_expt.out
RSeQC	infer_experiment	Atha_Ler-0_sl_FLT_0.09G_Rep1_infer_expt	/tmp/test251,docker/work/5d/e99b6f38c4370b8850b645f790d94e/mqc_in/Atha_Ler-0_sl_FLT_0.09G_Rep1_infer_expt.out
RSeQC	infer_experiment	Atha_Ler-0_sl_FLT_uG_Rep1_infer_expt	/tmp/test251,docker/work/5d/e99b6f38c4370b8850b645f790d94e/mqc_in/Atha_Ler-0_sl_FLT_uG_Rep1_infer_expt.out
